,Ingredient,Weight (g),Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Sugar (g),Fiber (g),Serving weight (g),title
5,carrots,7.625,3.12625,0.0709125,0.018299999999999997,0.730475,0.361425,0.21349999999999997,658.6066527084673,Rigatoni alla Genovese
6,black pepper,0.2875,0.721625,0.029899999999999996,0.009372499999999999,0.184,0.00184,0.0727375,658.6066527084673,Rigatoni alla Genovese
7,white wine,19.599999999999998,16.072,0.01372,0.0,0.5095999999999999,0.18816,0.0,658.6066527084673,Rigatoni alla Genovese
8,tomato paste,2.046875,1.6784375,0.08842500000000002,0.009620312499999999,0.38706406250000003,0.249309375,0.08392187499999998,658.6066527084673,Rigatoni alla Genovese
9,bay leaf,0.075,0.23475,0.0057075,0.006269999999999999,0.05625,0.0,0.019725,658.6066527084673,Rigatoni alla Genovese
10,yellow onions,226.796185,90.718474,2.4947580350000003,0.22679618500000004,21.182763679,9.616158244000001,3.855535145,658.6066527084673,Rigatoni alla Genovese
11,red onions,113.3980925,45.359237,1.2473790175000001,0.11339809250000002,10.5913818395,4.8080791220000005,1.9277675725,658.6066527084673,Rigatoni alla Genovese
12,rigatoni,113.3980925,420.70692317500004,14.741752025,1.71231119675,84.70837509750001,3.0277290697500003,3.6287389600000006,658.6066527084673,Rigatoni alla Genovese
13,Parmigiano-Reggiano cheese,2.32353515625,9.108257812500002,0.8318255859375,0.5808837890625,0.07481783203125002,0.002555888671875,0.0,658.6066527084673,Rigatoni alla Genovese
14,marjoram,0.2125,0.575875,0.0269875,0.01496,0.128775,0.00869125,0.08563749999999999,658.6066527084673,Rigatoni alla Genovese
15,cayenne pepper,0.013802083375,0.0438906251325,0.0016562500050000002,0.002387760423875,0.00781197919025,0.001421614587625,0.003754166678,658.6066527084673,Rigatoni alla Genovese
0,cooking spray,3.7801175498749995,29.938530995009998,0.009828305629674999,2.9749525117516247,0.7824843328241249,0.0,0.0,281.72993739362505,Baked Pasta
1,ground beef,56.69904625,144.01557747500001,9.752235955,11.33980925,0.0,0.0,0.0,281.72993739362505,Baked Pasta
2,tomato sauce,106.31071171875,25.5145708125,1.275728540625,0.31893213515625,5.645098792265625,3.7846613371875004,1.59466067578125,281.72993739362505,Baked Pasta
3,half-and-half,15.125,19.81375,0.47341249999999996,1.739375,0.6503749999999999,0.6246624999999999,0.0,281.72993739362505,Baked Pasta
4,Parmesan cheese,9.294140625,36.433031250000006,3.32730234375,2.32353515625,0.29927132812500007,0.0102235546875,0.0,281.72993739362505,Baked Pasta
5,garlic,1.125,1.67625,0.07155,0.005625,0.37237500000000007,0.01125,0.023625000000000004,281.72993739362505,Baked Pasta
6,dried oregano,0.125,0.33125,0.01125,0.005350000000000001,0.08612500000000001,0.0051125,0.053125,281.72993739362505,Baked Pasta
7,dried basil,0.0875,0.203875,0.020124999999999997,0.00356125,0.041824999999999994,0.0014962499999999998,0.0329875,281.72993739362505,Baked Pasta
8,ziti pasta,56.69904625,210.35346158750002,7.3708760125,0.856155598375,42.354187548750005,1.5138645348750002,1.8143694800000003,281.72993739362505,Baked Pasta
9,mozzarella cheese,32.484375,103.3003125,7.016625,7.99115625,0.8023640625,0.3280921875,0.0,281.72993739362505,Baked Pasta
0,pasta,113.3980925,420.706923175,14.741752024999998,1.7123111967499998,84.7083750975,3.02772906975,3.6287389599999997,228.30116832555913,To Die For Fettuccine Alfredo
1,butter,37.833333333333336,271.265,0.32158333333333333,30.68283333333333,0.022699999999999998,0.022699999999999998,0.0,228.30116832555913,To Die For Fettuccine Alfredo
2,heavy cream,59.6,202.64000000000001,1.6926400000000001,21.515600000000003,1.6926400000000001,1.7403199999999999,0.0,228.30116832555913,To Die For Fettuccine Alfredo
3,salt,1.3610083466665301,0.0,0.0,0.0,0.0,0.0,0.0,228.30116832555913,To Die For Fettuccine Alfredo
4,garlic salt,0.0673611110883336,0.22296527770238428,0.01118194444066338,0.0004917361109448353,0.04897152776121854,0.001636874999446507,0.0060624999979500245,228.30116832555913,To Die For Fettuccine Alfredo
5,Romano cheese,3.5437500000000006,13.714312500000004,1.1269125000000002,0.95326875,0.12863812500000002,0.025869375000000003,0.0,228.30116832555913,To Die For Fettuccine Alfredo
6,Parmesan cheese,12.3921875,48.57737500000001,4.436403125,3.098046875,0.3990284375000001,0.01363140625,0.0,228.30116832555913,To Die For Fettuccine Alfredo
0,brown sugar,1.1328124999808475,4.304687499927221,0.0013593749999770172,0.0,1.1112890624812113,1.0988281249814222,0.0,4.149479166611585,KFC-Style Spice for Chicken
1,dried parsley,0.20000000000000004,0.5840000000000001,0.053200000000000004,0.010960000000000003,0.10120000000000003,0.014539999999999999,0.05340000000000001,4.149479166611585,KFC-Style Spice for Chicken
2,garlic salt,0.8083333333333332,2.6755833333333334,0.13418333333333335,0.0059008333333333335,0.5876583333333333,0.0196425,0.07275,4.149479166611585,KFC-Style Spice for Chicken
3,chicken bouillon granules,0.499999999966186,1.3349999999097166,0.08349999999435305,0.06949999999529986,0.08999999999391349,0.08699999999411635,0.0,4.149479166611585,KFC-Style Spice for Chicken
4,soup mix,0.46249999999999997,1.743625,0.071225,0.03010875,0.2881375,0.0087875,0.0148,4.149479166611585,KFC-Style Spice for Chicken
5,cayenne pepper,0.22083333333333333,0.7022499999999999,0.026499999999999996,0.038204166666666664,0.12499166666666667,0.022745833333333337,0.060066666666666664,4.149479166611585,KFC-Style Spice for Chicken
6,dried rosemary,0.13749999999999998,0.455125,0.00671,0.0209,0.08813749999999998,0.0,0.058574999999999995,4.149479166611585,KFC-Style Spice for Chicken
7,ground sage,0.08333333333333333,0.2625,0.008833333333333334,0.010666666666666666,0.050583333333333334,0.001425,0.03358333333333333,4.149479166611585,KFC-Style Spice for Chicken
8,paprika,0.2833333333333333,0.7989999999999999,0.03995,0.03655,0.153,0.029183333333333335,0.09888333333333332,4.149479166611585,KFC-Style Spice for Chicken
9,salt,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4.149479166611585,KFC-Style Spice for Chicken
10,oregano,0.12499999999788663,0.3312499999943996,0.011249999999809796,0.005349999999909549,0.08612499999854391,0.005112499999913563,0.053124999999101814,4.149479166611585,KFC-Style Spice for Chicken
11,ground ginger,0.075,0.25125000000000003,0.0067350000000000005,0.00318,0.0537,0.0025425,0.010575,4.149479166611585,KFC-Style Spice for Chicken
12,dried marjoram,0.024999999999999998,0.06774999999999999,0.0031749999999999994,0.00176,0.015149999999999999,0.0010224999999999998,0.010074999999999999,4.149479166611585,KFC-Style Spice for Chicken
13,black pepper,0.09583333333333333,0.24054166666666665,0.009966666666666665,0.003124166666666666,0.06133333333333333,0.0006133333333333334,0.02424583333333333,4.149479166611585,KFC-Style Spice for Chicken
0,tomatoes,205.53404265625,32.885446825,1.623718936984375,0.513835106640625,7.1320312801718755,5.241118087734375,3.9051468104687497,562.6156563233377,Mom's Best Spaghetti Sauce
1,mushrooms,35.0,7.7,1.0815,0.11900000000000001,1.141,0.693,0.35,562.6156563233377,Mom's Best Spaghetti Sauce
2,tomato sauce,106.31071171875,25.5145708125,1.275728540625,0.31893213515625,5.645098792265625,3.7846613371875004,1.59466067578125,562.6156563233377,Mom's Best Spaghetti Sauce
3,tomato paste,85.048569375,69.7398268875,3.674098197,0.3997282760625,16.0826844688125,10.358915749875,3.486991344375,562.6156563233377,Mom's Best Spaghetti Sauce
4,water,88.7205886875,0.0,0.0,0.0,0.0,0.0,0.0,562.6156563233377,Mom's Best Spaghetti Sauce
5,onions,31.25,12.5,0.34375,0.03125,2.91875,1.325,0.53125,562.6156563233377,Mom's Best Spaghetti Sauce
6,fresh basil,0.75,0.1725,0.023624999999999997,0.0048,0.019874999999999997,0.00225,0.012000000000000002,562.6156563233377,Mom's Best Spaghetti Sauce
7,garlic,1.5,2.235,0.09540000000000001,0.0075,0.49650000000000005,0.015,0.0315,562.6156563233377,Mom's Best Spaghetti Sauce
8,white sugar,2.1,8.127,0.0,0.0,2.1,2.0958,0.0,562.6156563233377,Mom's Best Spaghetti Sauce
9,baking soda,0.07187500008749377,0.0,0.0,0.0,0.0,0.0,0.0,562.6156563233377,Mom's Best Spaghetti Sauce
10,salt,3.3655971465005248,0.0,0.0,0.0,0.0,0.0,0.0,562.6156563233377,Mom's Best Spaghetti Sauce
11,Parmesan cheese,4.6470703125,18.216515625000003,1.663651171875,1.161767578125,0.14963566406250003,0.00511177734375,0.0,562.6156563233377,Mom's Best Spaghetti Sauce
0,water,236.5882365,0.0,0.0,0.0,0.0,0.0,0.0,476.59536659730935,Dragon Mother
1,granulated sugar,200.0,774.0,0.0,0.0,200.0,199.6,0.0,476.59536659730935,Dragon Mother
2,jalapeño,14.0,4.06,0.1274,0.0518,0.91,0.5768,0.39199999999999996,476.59536659730935,Dragon Mother
3,coarse salt,29.124999999507587,0.0,0.0,0.0,0.0,0.0,0.0,476.59536659730935,Dragon Mother
4,chile powder,16.0,45.12,2.16,2.2880000000000003,7.952000000000001,1.1504,5.568,476.59536659730935,Dragon Mother
5,lime,8.375,2.5125,0.058625,0.01675,0.879375,0.14153749999999998,0.2345,476.59536659730935,Dragon Mother
0,milk,137.25,83.7225,4.3233749999999995,4.460625,6.587999999999999,6.931125,0.0,236.35,How to Make Vanilla Ice Cream
1,heavy whipping cream,59.5,202.3,1.6898,21.4795,1.6898,1.7374,0.0,236.35,How to Make Vanilla Ice Cream
2,white sugar,37.5,145.125,0.0,0.0,37.5,37.425,0.0,236.35,How to Make Vanilla Ice Cream
3,vanilla extract,2.1,6.048000000000001,0.00126,0.00126,0.2646,0.2646,0.0,236.35,How to Make Vanilla Ice Cream
0,mayonnaise,4.8125,33.3025,0.0,3.705625,0.0,0.0,0.0,13.9270833335,Deconstructed Big Mac
1,ketchup,5.666666666666667,5.723333333333334,0.05893333333333333,0.005666666666666667,1.5526666666666664,1.207,0.016999999999999998,13.9270833335,Deconstructed Big Mac
2,sweet pickle relish,2.5520833335,3.3177083335499997,0.00944270833395,0.011994791667449997,0.8957812500585001,0.7426562500485,0.028072916668500005,13.9270833335,Deconstructed Big Mac
3,sugar,0.35000000000000003,1.3545,0.0,0.0,0.35000000000000003,0.3493,0.0,13.9270833335,Deconstructed Big Mac
4,white vinegar,0.4166666666666667,0.075,0.0,0.0,0.00016666666666666666,0.00016666666666666666,0.0,13.9270833335,Deconstructed Big Mac
5,granulated garlic,0.12916666666666668,0.4275416666666667,0.021441666666666668,0.0009429166666666666,0.09390416666666668,0.0031387500000000005,0.011625000000000002,13.9270833335,Deconstructed Big Mac
0,all-purpose flour,7.8125,28.4375,0.8046875,0.0765625,5.9609375,0.02109375,0.2109375,359.18469990940963,"Chicken French (Rochester, NY Style)"
1,salt,2.1457162109374996,0.0,0.0,0.0,0.0,0.0,0.0,359.18469990940963,"Chicken French (Rochester, NY Style)"
2,eggs,25.0,35.75,3.15,2.3775,0.18,0.0925,0.0,359.18469990940963,"Chicken French (Rochester, NY Style)"
3,white sugar,3.125,12.09375,0.0,0.0,3.125,3.11875,0.0,359.18469990940963,"Chicken French (Rochester, NY Style)"
4,Parmesan cheese,2.32353515625,9.108257812500002,0.8318255859375,0.5808837890625,0.07481783203125002,0.002555888671875,0.0,359.18469990940963,"Chicken French (Rochester, NY Style)"
5,olive oil,6.75,59.67,0.0,6.75,0.0,0.0,0.0,359.18469990940963,"Chicken French (Rochester, NY Style)"
6,"skinless, boneless chicken breast halves",272.0,326.4,61.2,7.1264,0.0,0.0,0.0,359.18469990940963,"Chicken French (Rochester, NY Style)"
7,butter,14.1875,101.724375,0.12059375,11.506062499999999,0.0085125,0.0085125,0.0,359.18469990940963,"Chicken French (Rochester, NY Style)"
8,garlic,1.4,2.086,0.08904,0.006999999999999999,0.4634,0.013999999999999999,0.0294,359.18469990940963,"Chicken French (Rochester, NY Style)"
9,sherry,6.4375,9.785,0.012875000000000001,0.0,0.7531874999999999,0.07016875,0.0,359.18469990940963,"Chicken French (Rochester, NY Style)"
10,lemon juice,15.25,3.355,0.05337499999999999,0.036599999999999994,1.0522500000000001,0.3843,0.04575,359.18469990940963,"Chicken French (Rochester, NY Style)"
11,chicken base,3.3333333333333335,9.733333333333334,0.11333333333333334,0.45666666666666667,1.0433333333333334,0.7,0.023333333333333334,359.18469990940963,"Chicken French (Rochester, NY Style)"
0,cube steaks,226.796185,381.01759080000005,49.668364515,18.5746075515,0.0,0.0,0.0,813.2516280185807,The Best Chicken Fried Steak
1,all-purpose flour,70.3125,255.9375,7.2421875,0.6890625,53.6484375,0.18984375,1.8984375,813.2516280185807,The Best Chicken Fried Steak
2,baking powder,2.3,1.173,0.0023,0.0,0.5543,0.0,0.0046,813.2516280185807,The Best Chicken Fried Steak
3,baking soda,1.15,0.0,0.0,0.0,0.0,0.0,0.0,813.2516280185807,The Best Chicken Fried Steak
4,black pepper,0.725,1.81975,0.0754,0.023634999999999996,0.46399999999999997,0.00464,0.183425,813.2516280185807,The Best Chicken Fried Steak
5,salt,1.125,0.0,0.0,0.0,0.0,0.0,0.0,813.2516280185807,The Best Chicken Fried Steak
6,buttermilk,91.875,36.75,3.0410625,0.9830625000000001,4.4008125,4.9245,0.0,813.2516280185807,The Best Chicken Fried Steak
7,pepper sauce,3.599999999756539,0.39599999997321933,0.01835999999875835,0.013319999999099195,0.06299999999573944,0.04535999999693239,0.010799999999269616,813.2516280185807,The Best Chicken Fried Steak
8,egg,12.5,17.875,1.575,1.18875,0.09,0.04625,0.0,813.2516280185807,The Best Chicken Fried Steak
9,garlic,1.5,2.235,0.09540000000000001,0.0075,0.49650000000000005,0.015,0.0315,813.2516280185807,The Best Chicken Fried Steak
10,shortening,153.75,1359.15,0.0,153.75,0.0,0.0,0.0,813.2516280185807,The Best Chicken Fried Steak
11,milk,244.0,148.84,7.686,7.93,11.712,12.322000000000001,0.0,813.2516280185807,The Best Chicken Fried Steak
12,kosher salt,4.85780210999854,0.0,0.0,0.0,0.0,0.0,0.0,813.2516280185807,The Best Chicken Fried Steak
0,chicken breasts,226.796185,272.155422,51.029141625,5.942060047,0.0,0.0,0.0,288.4833598628213,Easy Mediterranean Baked Chicken Breast
1,salt,1.7170271100000003,0.0,0.0,0.0,0.0,0.0,0.0,288.4833598628213,Easy Mediterranean Baked Chicken Breast
2,olive oil,27.0,238.68,0.0,27.0,0.0,0.0,0.0,288.4833598628213,Easy Mediterranean Baked Chicken Breast
3,lemon juice,30.5,6.71,0.10674999999999998,0.07319999999999999,2.1045000000000003,0.7686,0.0915,288.4833598628213,Easy Mediterranean Baked Chicken Breast
4,garlic,1.5,2.235,0.09540000000000001,0.0075,0.49650000000000005,0.015,0.0315,288.4833598628213,Easy Mediterranean Baked Chicken Breast
5,dried oregano,0.25,0.6625,0.0225,0.010700000000000001,0.17225000000000001,0.010225,0.10625,288.4833598628213,Easy Mediterranean Baked Chicken Breast
6,dried thyme,0.125,0.345,0.0113875,0.009287499999999999,0.079875,0.0021375,0.04625,288.4833598628213,Easy Mediterranean Baked Chicken Breast
0,skinless chicken thighs,170.09713875,205.8175378875,33.50913633375,7.0080021165,0.0,0.0,0.0,309.98148212566605,Low-Carb Mediterranean Chicken And Tomato By Kevin Curry
1,sea salt,1.2135416667282188,0.0,0.0,0.0,0.0,0.0,0.0,309.98148212566605,Low-Carb Mediterranean Chicken And Tomato By Kevin Curry
2,black pepper,0.2875,0.721625,0.029899999999999996,0.009372499999999999,0.184,0.00184,0.0727375,309.98148212566605,Low-Carb Mediterranean Chicken And Tomato By Kevin Curry
3,olive oil,3.375,29.835,0.0,3.375,0.0,0.0,0.0,309.98148212566605,Low-Carb Mediterranean Chicken And Tomato By Kevin Curry
4,garlic,2.1249999999640727,3.1662499999464684,0.13514999999771501,0.010624999999820363,0.7033749999881082,0.021249999999640726,0.04462499999924553,309.98148212566605,Low-Carb Mediterranean Chicken And Tomato By Kevin Curry
5,dried thyme,0.5,1.38,0.04555,0.037149999999999996,0.3195,0.00855,0.185,309.98148212566605,Low-Carb Mediterranean Chicken And Tomato By Kevin Curry
6,dried rosemary,0.3,0.993,0.01464,0.045599999999999995,0.19229999999999997,0.0,0.1278,309.98148212566605,Low-Carb Mediterranean Chicken And Tomato By Kevin Curry
7,chicken stock,30.0,10.8,0.7559999999999999,0.36,1.059,0.47400000000000003,0.0,309.98148212566605,Low-Carb Mediterranean Chicken And Tomato By Kevin Curry
8,sun-dried tomatoes in oil,9.166666666666666,19.525,0.46383333333333326,1.2925,2.1358333333333333,0.0,0.5316666666666666,309.98148212566605,Low-Carb Mediterranean Chicken And Tomato By Kevin Curry
9,heavy cream,59.5,202.3,1.6898,21.4795,1.6898,1.7374,0.0,309.98148212566605,Low-Carb Mediterranean Chicken And Tomato By Kevin Curry
10,parmesan cheese,18.58828125,72.86606250000001,6.6546046875,4.6470703125,0.5985426562500001,0.020447109375,0.0,309.98148212566605,Low-Carb Mediterranean Chicken And Tomato By Kevin Curry
11,parsley,1.9,0.6839999999999999,0.05643,0.015009999999999999,0.12026999999999999,0.01615,0.06269999999999999,309.98148212566605,Low-Carb Mediterranean Chicken And Tomato By Kevin Curry
12,cauliflower rice,13.5,3.375,0.2592,0.0378,0.6709499999999999,0.25785,0.27,309.98148212566605,Low-Carb Mediterranean Chicken And Tomato By Kevin Curry
0,coconut oil,3.4,30.327999999999996,0.0,3.3694,0.0,0.0,0.0,154.3589608376289,Indian Fried Cabbage
1,red onion,28.75,11.5,0.31625000000000003,0.02875,2.68525,1.219,0.48875,154.3589608376289,Indian Fried Cabbage
2,garlic,1.25,1.8625,0.0795,0.00625,0.41375,0.0125,0.02625,154.3589608376289,Indian Fried Cabbage
3,cumin seeds,0.2625,0.984375,0.046725,0.058537500000000006,0.116025,0.005906250000000001,0.0275625,154.3589608376289,Indian Fried Cabbage
4,green cabbage,119.10000000000001,29.775,1.52448,0.11910000000000003,6.9078,3.811200000000001,2.9775,154.3589608376289,Indian Fried Cabbage
5,salt,1.5,0.0,0.0,0.0,0.0,0.0,0.0,154.3589608376289,Indian Fried Cabbage
6,curry powder,0.5,1.625,0.07150000000000001,0.07,0.27899999999999997,0.0138,0.266,154.3589608376289,Indian Fried Cabbage
7,masala,0.2375,0.624625,0.01446375,0.020638749999999997,0.1712375,0.0,0.0513,154.3589608376289,Indian Fried Cabbage
0,olive oil,6.75,59.67,0.0,6.75,0.0,0.0,0.0,393.41776597014984,Lentil Soup
1,onion,15.625,6.25,0.171875,0.015625,1.459375,0.6625,0.265625,393.41776597014984,Lentil Soup
2,carrots,15.25,6.2525,0.141825,0.036599999999999994,1.46095,0.72285,0.42699999999999994,393.41776597014984,Lentil Soup
3,celery,10.0,1.4,0.06899999999999999,0.017,0.29700000000000004,0.134,0.16,393.41776597014984,Lentil Soup
4,garlic,0.75,1.1175,0.047700000000000006,0.00375,0.24825000000000003,0.0075,0.01575,393.41776597014984,Lentil Soup
5,bay leaf,0.075,0.23475,0.0057075,0.006269999999999999,0.05625,0.0,0.019725,393.41776597014984,Lentil Soup
6,dried oregano,0.125,0.33125,0.01125,0.005350000000000001,0.08612500000000001,0.0051125,0.053125,393.41776597014984,Lentil Soup
7,dried basil,0.0875,0.203875,0.020124999999999997,0.00356125,0.041824999999999994,0.0014962499999999998,0.0329875,393.41776597014984,Lentil Soup
8,lentils,48.0,168.96,11.808000000000002,0.5088,30.432,0.9743999999999999,5.135999999999999,393.41776597014984,Lentil Soup
9,water,236.5882365,0.0,0.0,0.0,0.0,0.0,0.0,393.41776597014984,Lentil Soup
10,crushed tomatoes,51.3835106640625,16.4427234125,0.8426895748906249,0.14387382985937502,3.745857927410156,2.26087446921875,0.9762867026171874,393.41776597014984,Lentil Soup
11,spinach,1.875,0.43125,0.053625,0.0073125,0.0680625,0.007875,0.04125,393.41776597014984,Lentil Soup
12,vinegar,3.725,0.6705,0.0,0.0,0.00149,0.00149,0.0,393.41776597014984,Lentil Soup
13,salt,2.341405482984375,0.0,0.0,0.0,0.0,0.0,0.0,393.41776597014984,Lentil Soup
14,black pepper,1.1707027414921876,2.938463881145391,0.12175308511518751,0.038164909372645314,0.7492497545550001,0.007492497545550001,0.29618779359752345,393.41776597014984,Lentil Soup
0,cooked lentils,123.75,143.55,11.162249999999998,0.47025,24.87375,2.2275,9.77625,200.36223958354617,Lentil Burgers
1,onion,17.5,7.0,0.1925,0.0175,1.6344999999999998,0.742,0.2975,200.36223958354617,Lentil Burgers
2,egg,10.75,15.3725,1.3544999999999998,1.022325,0.0774,0.039775,0.0,200.36223958354617,Lentil Burgers
3,bell pepper,9.3125,2.42125,0.09219374999999999,0.027937499999999997,0.56154375,0.39112500000000006,0.19556250000000003,200.36223958354617,Lentil Burgers
4,bread crumbs,3.375,13.33125,0.45225000000000004,0.178875,2.43,0.20925000000000002,0.151875,200.36223958354617,Lentil Burgers
5,mozzarella cheese,21.65625,68.866875,4.6777500000000005,5.327437499999999,0.534909375,0.218728125,0.0,200.36223958354617,Lentil Burgers
6,garlic,0.7,1.043,0.04452,0.0034999999999999996,0.2317,0.006999999999999999,0.0147,200.36223958354617,Lentil Burgers
7,salt,0.0950520835,0.0,0.0,0.0,0.0,0.0,0.0,200.36223958354617,Lentil Burgers
8,black pepper,0.035937500046177275,0.09020312511590496,0.0037375000048024366,0.001171562501505379,0.023000000029553457,0.00023000000029553457,0.00909218751168285,200.36223958354617,Lentil Burgers
9,cornmeal,9.8125,36.30625,0.69766875,0.17171875,7.791125000000001,0.15798125000000002,0.38268749999999996,200.36223958354617,Lentil Burgers
10,olive oil,3.375,29.835,0.0,3.375,0.0,0.0,0.0,200.36223958354617,Lentil Burgers
0,low-sodium vegetable broth,16.214285714285715,0.15619566209142857,0.004919782187857143,0.006107657297857143,0.02437123512785714,0.008671487395,0.006850079120000002,90.37107625787144,OMG! Quinoa Patties
1,quinoa,12.142857142857142,44.68571428571429,1.712142857142857,0.7370714285714286,7.795714285714285,0.0,0.85,90.37107625787144,OMG! Quinoa Patties
2,water,12.6743698125,0.0,0.0,0.0,0.0,0.0,0.0,90.37107625787144,OMG! Quinoa Patties
3,olive oil,2.892857142857143,25.572857142857142,0.0,2.892857142857143,0.0,0.0,0.0,90.37107625787144,OMG! Quinoa Patties
4,white onion,8.928571428571429,3.5714285714285716,0.09821428571428571,0.008928571428571428,0.8339285714285715,0.37857142857142856,0.15178571428571427,90.37107625787144,OMG! Quinoa Patties
5,zucchini,14.0,2.38,0.1694,0.0448,0.43539999999999995,0.35000000000000003,0.13999999999999999,90.37107625787144,OMG! Quinoa Patties
6,carrot,5.142857142857143,2.1085714285714285,0.047828571428571436,0.012342857142857143,0.4926857142857143,0.24377142857142858,0.144,90.37107625787144,OMG! Quinoa Patties
7,garlic powder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.37107625787144,OMG! Quinoa Patties
8,salt,0.5378319331607143,0.0,0.0,0.0,0.0,0.0,0.0,90.37107625787144,OMG! Quinoa Patties
9,eggs,14.285714285714286,20.428571428571427,1.8,1.3585714285714285,0.10285714285714286,0.05285714285714286,0.0,90.37107625787144,OMG! Quinoa Patties
10,oat groats,3.357142857142857,8.258571428571429,0.5807857142857143,0.23600714285714286,2.2224285714285714,0.04867857142857142,0.517,90.37107625787144,OMG! Quinoa Patties
0,firm tofu,56.69904625,81.6466266,9.808935001250001,4.944156833000001,1.57623348575,0.0,1.30407806375,278.920151625,Vegan Thai Basil Stir Fry (Vegan Pad Kra Pao)
1,onion,20.0,8.0,0.22,0.02,1.868,0.8480000000000001,0.34,278.920151625,Vegan Thai Basil Stir Fry (Vegan Pad Kra Pao)
2,oyster mushrooms,56.69904625,18.7106852625,1.8767384308750001,0.23246608962499998,3.4529719166249997,0.629359413375,1.30407806375,278.920151625,Vegan Thai Basil Stir Fry (Vegan Pad Kra Pao)
3,red chili,1.5,0.6,0.028050000000000002,0.0066,0.13215,0.07949999999999999,0.0225,278.920151625,Vegan Thai Basil Stir Fry (Vegan Pad Kra Pao)
4,ginger,2.5,2.0,0.0455,0.01875,0.445,0.0425,0.05,278.920151625,Vegan Thai Basil Stir Fry (Vegan Pad Kra Pao)
5,tomatoes,61.5,11.07,0.5412,0.12300000000000001,2.39235,1.61745,0.738,278.920151625,Vegan Thai Basil Stir Fry (Vegan Pad Kra Pao)
6,water,59.147059125,0.0,0.0,0.0,0.0,0.0,0.0,278.920151625,Vegan Thai Basil Stir Fry (Vegan Pad Kra Pao)
7,thai basil,12.5,2.875,0.39375,0.08,0.33125,0.0375,0.2,278.920151625,Vegan Thai Basil Stir Fry (Vegan Pad Kra Pao)
8,lime,8.375,2.5125,0.058625,0.01675,0.879375,0.14153749999999998,0.2345,278.920151625,Vegan Thai Basil Stir Fry (Vegan Pad Kra Pao)
0,simple syrup,13.166666667334495,35.418333335129795,0.0,0.0,9.624833333821515,9.638000000488852,0.0,322.55049142733446,Classic Old Fashioned
1,water,4.928921594,0.0,0.0,0.0,0.0,0.0,0.0,322.55049142733446,Classic Old Fashioned
2,bitters,1.166666666,2.6949999984599997,0.0,0.0,0.0,0.0,0.0,322.55049142733446,Classic Old Fashioned
3,ice,236.5882365,0.0,0.0,0.0,0.0,0.0,0.0,322.55049142733446,Classic Old Fashioned
